Incident energy ; BROND-3.1 ; ENDF/B-VIII.0 ; JEFF-4.0 ; JENDL-4.0u ; TENDL-2019
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ; 0.4820366 ; 0.4818013 ; 0.481502815 ; 0.4815286 ; 0.481781301
1.032229E-5 ; 0.4746149574464001 ; 0.47437191471085327 ; 0.473926402 ; 0.47411479553920005 ; 0.4742005340785196
1.032234E-5 ; 0.4746138060544 ; 0.4743707621176471 ; 0.473925281178041 ; 0.4741136453632 ; 0.474199358
1.06035E-5 ; 0.46813929856000003 ; 0.4678895 ; 0.4676226751382358 ; 0.46764597568000005 ; 0.46789313119397424
1.0625E-5 ; 0.4676442 ; 0.46743448019884 ; 0.46714072169586907 ; 0.4671514 ; 0.46741090087554493
1.065491E-5 ; 0.4670136637008 ; 0.4668014735824358 ; 0.466470246 ; 0.46652152411360004 ; 0.46674004
1.09983E-5 ; 0.45977461790400004 ; 0.4595340666280033 ; 0.459130369 ; 0.459290060368 ; 0.45939594335214307
1.099835E-5 ; 0.45977356384800006 ; 0.4595330084424193 ; 0.45912934992971416 ; 0.45928900741600004 ; 0.459394874
1.1207E-5 ; 0.45537498816000005 ; 0.4551172 ; 0.4548767696269575 ; 0.45489503872 ; 0.45513984951388425
1.125E-5 ; 0.4544685 ; 0.45430882493786245 ; 0.4540003691811461 ; 0.4539895 ; 0.4542629453542725
1.135271E-5 ; 0.45247651760960006 ; 0.4523779365045567 ; 0.451906995 ; 0.4519996211104 ; 0.452168368
1.171859E-5 ; 0.4453805530784001 ; 0.44549960469676886 ; 0.44479627 ; 0.4449111498016 ; 0.4450535532880059
1.171864E-5 ; 0.4453795833664 ; 0.4454986647257663 ; 0.4447953434257984 ; 0.44491018111360003 ; 0.445052581
1.1875E-5 ; 0.4423471 ; 0.4425591874067936 ; 0.4418977605826227 ; 0.4418809 ; 0.44215333190669276
1.209621E-5 ; 0.43838287522560004 ; 0.4384005676975974 ; 0.437798411 ; 0.4379208516704 ; 0.438051625
1.2414E-5 ; 0.43268787504 ; 0.4324263 ; 0.43218285366591425 ; 0.43223185136000003 ; 0.4324328379537562
1.248605E-5 ; 0.43139669292800004 ; 0.4311779080813954 ; 0.430909683 ; 0.430942029552 ; 0.43115893504088326
1.24861E-5 ; 0.431395796896 ; 0.43117704174418603 ; 0.4309088405264074 ; 0.43094113446399995 ; 0.431158051
1.25E-5 ; 0.4311467 ; 0.4309362 ; 0.43067463286765256 ; 0.4306923 ; 0.43092370857469553
1.28125E-5 ; 0.42613057500000007 ; 0.4256484 ; 0.42540917291363245 ; 0.42568147500000003 ; 0.4256552187971663
1.28884E-5 ; 0.42491225856000003 ; 0.424410246336 ; 0.424130298 ; 0.42446444582399995 ; 0.424375608
1.3125E-5 ; 0.42111445 ; 0.4205506 ; 0.42032898789214695 ; 0.42067065 ; 0.4205721105082445
1.330378E-5 ; 0.41824474495200004 ; 0.4177847732832 ; 0.417456637 ; 0.4178039770608 ; 0.41769810678222563
1.330383E-5 ; 0.41824394237199997 ; 0.41778399975520003 ; 0.41745587099428505 ; 0.4178031753288 ; 0.417697303
1.373248E-5 ; 0.411363424032 ; 0.4111525442112 ; 0.410888904 ; 0.41092992689280006 ; 0.411126558
1.375E-5 ; 0.4110822 ; 0.4108815 ; 0.41063296212377703 ; 0.410649 ; 0.4108704688146943
1.417505E-5 ; 0.405131193964 ; 0.404933384304 ; 0.404423596 ; 0.404704216696 ; 0.40465752884813155
1.41751E-5 ; 0.40513049392800005 ; 0.4049326846080001 ; 0.404422899528285 ; 0.404703517392 ; 0.404656798
1.463183E-5 ; 0.3987359450824 ; 0.3985412415264 ; 0.398060909 ; 0.39831565507360006 ; 0.398291145
1.5E-5 ; 0.3935813 ; 0.3933891 ; 0.3931707180669904 ; 0.3931664 ; 0.39339813829861536
1.510339E-5 ; 0.39230416882159996 ; 0.39211159202919715 ; 0.391797448 ; 0.3918906335696 ; 0.39202407750372126
1.510344E-5 ; 0.3923035511936 ; 0.39211097421897806 ; 0.39179681473827277 ; 0.3918900166016 ; 0.392023413
1.559008E-5 ; 0.3862923013952 ; 0.386097950919708 ; 0.385633405 ; 0.38588519045119996 ; 0.385856455
1.609253E-5 ; 0.3800857576232 ; 0.37988957602919704 ; 0.37956549 ; 0.37968527901919996 ; 0.3797850451804975
1.609258E-5 ; 0.3800851399952 ; 0.3798889582189781 ; 0.37956491421301297 ; 0.37968466205119994 ; 0.379784441
1.6233E-5 ; 0.37835059352 ; 0.3781539 ; 0.3779478740386069 ; 0.37795196911999995 ; 0.37816646982320495
1.625E-5 ; 0.3781406 ; 0.377966500162206 ; 0.37775210646301305 ; 0.3777422 ; 0.37797058953545737
1.661109E-5 ; 0.3741671078656 ; 0.3739860173722628 ; 0.373593888 ; 0.37377289650959994 ; 0.373809977
1.714644E-5 ; 0.36827603080960003 ; 0.3680845760097324 ; 0.367715414 ; 0.3678880295136 ; 0.367928116347217
1.714649E-5 ; 0.36827548060160004 ; 0.3680840248337388 ; 0.3677148904839013 ; 0.3678874798856 ; 0.367927567
1.7466E-5 ; 0.36475954144000006 ; 0.3645619 ; 0.3643695179101587 ; 0.36437524703999996 ; 0.3645802671669563
1.75E-5 ; 0.3643854 ; 0.3642076 ; 0.36401352696306083 ; 0.3640015 ; 0.3642240711345207
1.757813E-5 ; 0.3636131255776 ; 0.3633972 ; 0.3631954807072738 ; 0.36323003187919994 ; 0.3634055536046915
1.765625E-5 ; 0.36284095000000005 ; 0.3625924 ; 0.36237753915470655 ; 0.3624586625 ; 0.3625871408384014
1.769897E-5 ; 0.3624186850144 ; 0.3621566423296 ; 0.361930247 ; 0.36203683838479994 ; 0.362139591
1.78125E-5 ; 0.3612965 ; 0.3609986 ; 0.36079676854338105 ; 0.36091582499999997 ; 0.3610054594160677
1.8125E-5 ; 0.3582076 ; 0.357873 ; 0.35767678248072443 ; 0.35783014999999996 ; 0.35788367557057466
1.826938E-5 ; 0.3567804787776 ; 0.3564834637792 ; 0.356235299 ; 0.3564045187792 ; 0.35644136148541533
1.826943E-5 ; 0.35677998455360005 ; 0.3564829825712 ; 0.3562348229970444 ; 0.3564040250712 ; 0.356440862
1.875E-5 ; 0.3520298 ; 0.3518579 ; 0.35165976818944816 ; 0.3516588 ; 0.3518631719167261
