Incident energy ; JENDL/AD-2017 ; JEFF-4.0 ; ENDF/B-VIII.0 ; TENDL-2019
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ; 24.60753 ; 9.6837E-20 ; 24.11476 ; 24.5962962
1.032229E-5 ; 24.239222254141715 ; 9.5328E-20 ; 23.743481920000004 ; 24.20927664212943
1.032234E-5 ; 24.239165114958702 ; 9.532777662197103E-20 ; 23.74342432 ; 24.2092166
1.0625E-5 ; 23.893290212350905 ; 9.397562473693705E-20 ; 23.39476 ; 23.862646646793156
1.065491E-5 ; 23.859109553073168 ; 9.3842E-20 ; 23.363216196160003 ; 23.8283973
1.09983E-5 ; 23.466689071983854 ; 9.238E-20 ; 23.0010688608 ; 23.45346049343699
1.099835E-5 ; 23.46663193280084 ; 9.237979698654102E-20 ; 23.0010161296 ; 23.4534059
1.103037E-5 ; 23.43004 ; 9.224978716740496E-20 ; 22.967247069120003 ; 23.420069028253753
1.125E-5 ; 23.21338403144632 ; 9.13580302474535E-20 ; 22.73562 ; 23.191406406716336
1.135271E-5 ; 23.112064837665198 ; 9.0941E-20 ; 22.6359666496 ; 23.0844723
1.171859E-5 ; 22.751139254755664 ; 8.9525E-20 ; 22.2809752384 ; 22.72124093804553
1.171864E-5 ; 22.751089931810586 ; 8.952481542291191E-20 ; 22.280926726400004 ; 22.7211913
1.1875E-5 ; 22.596847217959773 ; 8.894760595307451E-20 ; 22.12922 ; 22.573176435747012
1.209621E-5 ; 22.378632644341597 ; 8.8131E-20 ; 21.930902580479998 ; 22.3637727
1.216691E-5 ; 22.30889 ; 8.788236030166221E-20 ; 21.86751918208 ; 22.29995492947498
1.248605E-5 ; 22.037135788264575 ; 8.676E-20 ; 21.5814063424 ; 22.011881332793866
1.24861E-5 ; 22.03709321224594 ; 8.675983235988565E-20 ; 21.581361516799998 ; 22.0118362
1.25E-5 ; 22.02525707906576 ; 8.67132284081024E-20 ; 21.5689 ; 21.99987235978126
1.28884E-5 ; 21.69452656631888 ; 8.5411E-20 ; 21.2570116928 ; 21.6655734
1.330378E-5 ; 21.34082203391723 ; 8.4082E-20 ; 20.92345822976 ; 21.324668135348915
1.330383E-5 ; 21.3407794578986 ; 8.408184767902962E-20 ; 20.923418079359998 ; 21.3246271
1.342055E-5 ; 21.24139 ; 8.372626960578493E-20 ; 20.8296909856 ; 21.233283767976204
1.373248E-5 ; 21.012109122222142 ; 8.2776E-20 ; 20.57920870016 ; 20.989172
1.375E-5 ; 20.99923122981465 ; 8.272509117201799E-20 ; 20.56514 ; 20.97609792067236
1.417505E-5 ; 20.686802681424055 ; 8.149E-20 ; 20.2674281792 ; 20.658909711870226
1.41751E-5 ; 20.686765929448004 ; 8.148986142125314E-20 ; 20.2673931584 ; 20.6588724
1.463183E-5 ; 20.351051329032913 ; 8.0224E-20 ; 19.947492158720003 ; 20.3338878
1.480336E-5 ; 20.22497 ; 7.977113111799135E-20 ; 19.82734980224 ; 20.21750541696741
1.5E-5 ; 20.100204047820412 ; 7.925196749088132E-20 ; 19.68962 ; 20.084086004622463
1.510339E-5 ; 20.03460421159255 ; 7.8979E-20 ; 19.62572994272 ; 20.013936324789555
1.510344E-5 ; 20.034572487133595 ; 7.897887404713472E-20 ; 19.625699045120005 ; 20.0139024
1.559008E-5 ; 19.725804673013002 ; 7.7753E-20 ; 19.32497888384 ; 19.6990618
1.609253E-5 ; 19.407005584970726 ; 7.6547E-20 ; 19.014488901439996 ; 19.389099145124376
1.609258E-5 ; 19.406973860511773 ; 7.654688554844184E-20 ; 19.014458003839998 ; 19.3890683
1.625E-5 ; 19.307092573936764 ; 7.618654626272756E-20 ; 18.91718 ; 19.29646604799715
1.632865E-5 ; 19.25719 ; 7.600651396174019E-20 ; 18.8738828604 ; 19.250200216971706
1.661109E-5 ; 19.102498173032348 ; 7.536E-20 ; 18.718398510639997 ; 19.084055
1.714644E-5 ; 18.809288041439324 ; 7.4192E-20 ; 18.42368619424 ; 18.78376944572282
1.714649E-5 ; 18.80926065653864 ; 7.419189602374532E-20 ; 18.42365866904 ; 18.7837414
1.75E-5 ; 18.615643931742806 ; 7.345676310788554E-20 ; 18.22905 ; 18.59466749022046
1.769897E-5 ; 18.506668457972253 ; 7.3043E-20 ; 18.13066013088 ; 18.4882489
1.801111E-5 ; 18.33571 ; 7.242464092494873E-20 ; 17.97630814944 ; 18.329056624524068
1.826938E-5 ; 18.21360582250242 ; 7.1913E-20 ; 17.848594667519997 ; 18.19733820014024
1.826943E-5 ; 18.21358218364048 ; 7.191290547128468E-20 ; 17.84856994272 ; 18.1973127
1.875E-5 ; 17.986379625929516 ; 7.100435217679333E-20 ; 17.61093 ; 17.96360861738355
1.885809E-5 ; 17.935277134173937 ; 7.08E-20 ; 17.56257312816 ; 17.9110438
1.946586E-5 ; 17.647937311671516 ; 6.9705E-20 ; 17.29067141664 ; 17.62921538544964
1.946591E-5 ; 17.64791367280957 ; 6.970491415043204E-20 ; 17.290649047840002 ; 17.6291922
1.986691E-5 ; 17.45833 ; 6.901640061537481E-20 ; 17.11125127184 ; 17.451882314953526
2.0E-5 ; 17.404015512181065 ; 6.878788623537289E-20 ; 17.05171 ; 17.393034004228248
2.009312E-5 ; 17.36601291915605 ; 6.8628E-20 ; 17.014603542400003 ; 17.3518592
2.074069E-5 ; 17.101737369701468 ; 6.7568E-20 ; 16.756559848800002 ; 17.078829381104658
2.074074E-5 ; 17.1017169645291 ; 6.756792197202064E-20 ; 16.756539924800002 ; 17.0788083
2.140904E-5 ; 16.828981430609225 ; 6.6525E-20 ; 16.490235740799996 ; 16.8101324
2.1875E-5 ; 16.638821548243065 ; 6.583144233166179E-20 ; 16.30456 ; 16.631505283787664
2.191394E-5 ; 16.62293 ; 6.577348212991681E-20 ; 16.290918746879996 ; 16.61657752195122
2.209902E-5 ; 16.557730888593635 ; 6.5498E-20 ; 16.22608250837333 ; 16.545626567644888
2.209907E-5 ; 16.557713274828938 ; 6.549792908498567E-20 ; 16.226064992639998 ; 16.5456074
2.281114E-5 ; 16.30686860625789 ; 6.4488E-20 ; 15.976616427946668 ; 16.2853183
