Incident energy ; JENDL/AD-2017 ; TENDL-2019 ; ENDF/B-VIII.0 ; BROND-3.1 ; JEFF-4.0
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ; 0.002741682 ;  ;  ;  ; 0.002736514
1.032229E-5 ; 0.0027006326192532777 ;  ;  ;  ; 0.002693448
1.065491E-5 ; 0.0026582675287323975 ;  ;  ;  ; 0.002651065
1.09983E-5 ; 0.0026145306865883134 ;  ;  ;  ; 0.002609343
1.103037E-5 ; 0.002610446 ;  ;  ;  ; 0.0026056276360712166
1.135271E-5 ; 0.0025750057303570487 ;  ;  ;  ; 0.002568284
1.171859E-5 ; 0.0025347783745930633 ;  ;  ;  ; 0.002527864
1.209621E-5 ; 0.002493260242736727 ;  ;  ;  ; 0.002488086
1.216691E-5 ; 0.002485487 ;  ;  ;  ; 0.0024809844439770165
1.248605E-5 ; 0.002455197924715229 ;  ;  ;  ; 0.002448928
1.28884E-5 ; 0.00241701151924795 ;  ;  ;  ; 0.002410391
1.330378E-5 ; 0.0023775884569812705 ;  ;  ;  ; 0.002372456
1.342055E-5 ; 0.002366506 ;  ;  ;  ; 0.0023622869046419407
1.373248E-5 ; 0.0023409503924328 ;  ;  ;  ; 0.002335122
1.417505E-5 ; 0.002304691791974313 ;  ;  ;  ; 0.00229837
1.463183E-5 ; 0.0022672690034494978 ;  ;  ;  ; 0.002262202
1.480336E-5 ; 0.002253216 ;  ;  ;  ; 0.0022492510412248706
1.510339E-5 ; 0.0022319971916684696 ;  ;  ;  ; 0.002226598
1.559008E-5 ; 0.0021975773608953054 ;  ;  ;  ; 0.002191558
1.609253E-5 ; 0.0021620429468494516 ;  ;  ;  ; 0.002157065
1.632865E-5 ; 0.002145344 ;  ;  ;  ; 0.002141608101049059
1.661109E-5 ; 0.002128101404467268 ;  ;  ;  ; 0.002123119
1.714644E-5 ; 0.0020954189815864865 ;  ;  ;  ; 0.002089703
1.769897E-5 ; 0.0020616877419968377 ;  ;  ;  ; 0.002056816
1.801111E-5 ; 0.002042632 ;  ;  ;  ; 0.0020391008333304115
1.826938E-5 ; 0.0020290214020206917 ;  ;  ;  ; 0.002024443
1.885809E-5 ; 0.0019979969116176314 ;  ;  ;  ; 0.001992583
1.946586E-5 ; 0.001965967976263606 ;  ;  ;  ; 0.00196122
1.986691E-5 ; 0.001944833 ;  ;  ;  ; 0.0019414859052864842
2.009312E-5 ; 0.001934542419197569 ;  ;  ;  ; 0.001930355
2.074069E-5 ; 0.00190508363572102 ;  ;  ;  ; 0.00189997
2.140904E-5 ; 0.0018746795435973093 ;  ;  ;  ; 0.001870068
2.191394E-5 ; 0.001851711 ;  ;  ;  ; 0.0018485279026058728
2.209902E-5 ; 0.0018444429654908214 ;  ;  ;  ; 0.001840632
2.281114E-5 ; 0.0018164782327553754 ;  ;  ;  ; 0.001811663
2.354631E-5 ; 0.0017876083336300628 ;  ;  ;  ; 0.001783146
2.417189E-5 ; 0.001763042 ;  ;  ;  ; 0.001760006754266886
2.430506E-5 ; 0.001758527643991986 ;  ;  ;  ; 0.001755081
2.508838E-5 ; 0.0017319737253301425 ;  ;  ;  ; 0.001727454
2.589682E-5 ; 0.0017045682588503126 ;  ;  ;  ; 0.001700265
2.666248E-5 ; 0.001678613 ;  ;  ;  ; 0.0016757114428122978
2.673144E-5 ; 0.0016765950534283623 ;  ;  ;  ; 0.0016735
2.759283E-5 ; 0.0016513885714483315 ;  ;  ;  ; 0.001647159
2.84821E-5 ; 0.0016253662491200228 ;  ;  ;  ; 0.00162123
2.939991E-5 ; 0.0015985087731496819 ;  ;  ;  ; 0.001595711
2.940971E-5 ; 0.001598222 ;  ;  ;  ; 0.0015954511863832573
3.034742E-5 ; 0.0015745347871450825 ;  ;  ;  ; 0.001570591
3.132534E-5 ; 0.0015498318414634952 ;  ;  ;  ; 0.001545869
3.233491E-5 ; 0.0015243293945641984 ;  ;  ;  ; 0.001521532
3.243999E-5 ; 0.001521675 ;  ;  ;  ; 0.0015191165567637601
3.337686E-5 ; 0.001501245610291038 ;  ;  ;  ; 0.001497581
3.445255E-5 ; 0.0014777891112932756 ;  ;  ;  ; 0.001474004
3.556274E-5 ; 0.001453580305203858 ;  ;  ;  ; 0.001450801
3.578251E-5 ; 0.001448788 ;  ;  ;  ; 0.0014464210932346835
3.670888E-5 ; 0.0014313499061140462 ;  ;  ;  ; 0.001427959
3.789178E-5 ; 0.0014090828624298871 ;  ;  ;  ; 0.00140548
3.911298E-5 ; 0.0013860948552043438 ;  ;  ;  ; 0.001383351
3.946943E-5 ; 0.001379385 ;  ;  ;  ; 0.0013771921643803008
4.037335E-5 ; 0.0013646966695198448 ;  ;  ;  ; 0.001361574
4.167452E-5 ; 0.0013435531889343243 ;  ;  ;  ; 0.001340135
4.301744E-5 ; 0.0013217312879160816 ;  ;  ;  ; 0.001319037
4.353624E-5 ; 0.001313301 ;  ;  ;  ; 0.0013112650475190963
4.440383E-5 ; 0.0013011310980061705 ;  ;  ;  ; 0.001298268
4.583469E-5 ; 0.001281060066796854 ;  ;  ;  ; 0.001277828
4.731188E-5 ; 0.0012603391530861556 ;  ;  ;  ; 0.001257706
4.802208E-5 ; 0.001250377 ;  ;  ;  ; 0.0012484815102094362
4.883645E-5 ; 0.001240515618791241 ;  ;  ;  ; 0.001237904
5.041038E-5 ; 0.001221456562433686 ;  ;  ;  ; 0.001218411
5.20348E-5 ; 0.00120178611182385 ;  ;  ;  ; 0.001199226
5.297013E-5 ; 0.00119046 ;  ;  ;  ; 0.0011886930798747763
5.37118E-5 ; 0.0011827072174470674 ;  ;  ;  ; 0.001180341
5.54426E-5 ; 0.0011646149175797197 ;  ;  ;  ; 0.001161755
5.722944E-5 ; 0.0011459368235798514 ;  ;  ;  ; 0.001143459
5.842801E-5 ; 0.001133408 ;  ;  ;  ; 0.0011317563448906003
5.907359E-5 ; 0.0011275824625629543 ;  ;  ;  ; 0.001125453
6.097745E-5 ; 0.0011104025503833733 ;  ;  ;  ; 0.001107728
6.294238E-5 ; 0.0010926715592185694 ;  ;  ;  ; 0.001090284
6.444825E-5 ; 0.001079083 ;  ;  ;  ; 0.0010775357645646624
6.497092E-5 ; 0.0010750115551579986 ;  ;  ;  ; 0.001073111
6.706453E-5 ; 0.001058702951955859 ;  ;  ;  ; 0.001056211
