Incident energy ; ENDF/B-VIII.0 ; JEFF-4.0 ; JENDL/AD-2017 ; TENDL-2019
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ; 16.0927 ; 16.1097977 ; 30.98449 ; 16.0841516
1.032229E-5 ; 15.84492860464 ; 15.856311 ; 30.52073734541961 ; 15.831069563091768
1.032234E-5 ; 15.84489016544 ; 15.85627350027058 ; 30.520665398934366 ; 15.8310303
1.0625E-5 ; 15.61221 ; 15.629280138139618 ; 30.085158934460438 ; 15.604399325618665
1.065491E-5 ; 15.59116005984 ; 15.6068478 ; 30.04212054698798 ; 15.5820028
1.09983E-5 ; 15.349490419199999 ; 15.361275 ; 29.54800647563497 ; 15.336821900064058
1.099835E-5 ; 15.3494552304 ; 15.361240904616121 ; 29.547934529149725 ; 15.3367862
1.103037E-5 ; 15.32692032288 ; 15.339406220781017 ; 29.50186 ; 15.314986368467096
1.125E-5 ; 15.17235 ; 15.189638837561015 ; 29.229058801010083 ; 15.165458042434247
1.135271E-5 ; 15.10584815088 ; 15.1196001 ; 29.101483282418567 ; 15.0955311
1.171859E-5 ; 14.868951095520002 ; 14.8816941 ; 28.647025773487957 ; 14.858004759596097
1.171864E-5 ; 14.86891872192 ; 14.881663099284996 ; 28.646963668766606 ; 14.8579723
1.1875E-5 ; 14.76768 ; 14.784717663322917 ; 28.452749784169498 ; 14.761181538265753
1.209621E-5 ; 14.63533271152 ; 14.6475643 ; 28.177986075985004 ; 14.624247
1.216691E-5 ; 14.593033749920002 ; 14.605765518397293 ; 28.09017 ; 14.582514923747723
1.248605E-5 ; 14.402096117600001 ; 14.4170857 ; 27.747991352541398 ; 14.394136213490984
1.24861E-5 ; 14.4020662032 ; 14.417057513060767 ; 27.74793774305223 ; 14.3941067
1.25E-5 ; 14.39375 ; 14.409221543954269 ; 27.73303430506365 ; 14.38628323547104
1.28884E-5 ; 14.185614208 ; 14.1902654 ; 27.316595793210176 ; 14.1676765
1.330378E-5 ; 13.9630203736 ; 13.9669824 ; 26.871229601001883 ; 13.9447498340635
1.330383E-5 ; 13.9629935796 ; 13.966956771483554 ; 26.871175991512718 ; 13.944723
1.342055E-5 ; 13.900445666 ; 13.907129562694191 ; 26.74603 ; 13.884991223455035
1.373248E-5 ; 13.733288617600001 ; 13.7472435 ; 26.457332165445724 ; 13.7253602
1.375E-5 ; 13.7239 ; 13.738680361983414 ; 26.441117033648876 ; 13.716810723410601
1.417505E-5 ; 13.5252282296 ; 13.5309314 ; 26.04772423854326 ; 13.50939319919118
1.41751E-5 ; 13.525204859199999 ; 13.530908097907089 ; 26.047677962482197 ; 13.5093688
1.463183E-5 ; 13.311725603360001 ; 13.3180528 ; 25.62496465508638 ; 13.2968531
1.480336E-5 ; 13.231551109120002 ; 13.241825764280263 ; 25.46621 ; 13.220747660227731
1.5E-5 ; 13.13964 ; 13.154439975765545 ; 25.309110975421067 ; 13.133501267895083
1.510339E-5 ; 13.09700361824 ; 13.108494 ; 25.226510954310328 ; 13.087628584294226
1.510344E-5 ; 13.096982999040002 ; 13.108472812735007 ; 25.226471008463964 ; 13.0876064
1.559008E-5 ; 12.896300449279998 ; 12.9022614 ; 24.83768607497591 ; 12.881724
1.609253E-5 ; 12.689098108479998 ; 12.699245 ; 24.436270264867666 ; 12.679031470417911
1.609258E-5 ; 12.689077489279999 ; 12.699225735700788 ; 24.4362303190213 ; 12.6790113
1.625E-5 ; 12.62416 ; 12.63857401605793 ; 24.31046481633001 ; 12.61845628801952
1.632865E-5 ; 12.5952658776 ; 12.608271273395557 ; 24.24763 ; 12.588201862328596
1.661109E-5 ; 12.491504200159998 ; 12.4994511 ; 24.052851723666535 ; 12.4795552
1.714644E-5 ; 12.29482945856 ; 12.3027729 ; 23.683659859075405 ; 12.283190739820697
1.714649E-5 ; 12.294811089760001 ; 12.302755384534777 ; 23.68362537772072 ; 12.2831724
1.75E-5 ; 12.16494 ; 12.178917542310824 ; 23.439835303840805 ; 12.159532072744716
1.769897E-5 ; 12.09928149176 ; 12.1092165 ; 23.30262020101518 ; 12.0899422
1.801111E-5 ; 11.99627778888 ; 12.004950270259988 ; 23.08736 ; 11.985842311692318
1.826938E-5 ; 11.911050755039998 ; 11.9186786 ; 22.933612946168772 ; 11.899708275191951
1.826943E-5 ; 11.911034255439999 ; 11.918662674204617 ; 22.933583181377305 ; 11.8996916
1.875E-5 ; 11.75245 ; 11.765593484459242 ; 22.647501864694473 ; 11.746866486688413
1.885809E-5 ; 11.72017951432 ; 11.7311651 ; 22.583156338506306 ; 11.712493
1.946586E-5 ; 11.538728565280001 ; 11.5465758 ; 22.221353392337534 ; 11.528198161560988
1.946591E-5 ; 11.538713637679999 ; 11.546561319609093 ; 22.221323627546074 ; 11.528183
1.986691E-5 ; 11.418994285680002 ; 11.430428584539106 ; 21.98261 ; 11.412235494061001
2.0E-5 ; 11.37926 ; 11.391884680024233 ; 21.91422016687591 ; 11.373753066217057
2.009312E-5 ; 11.354497032960003 ; 11.3649164 ; 21.866369379735517 ; 11.3468278
2.074069E-5 ; 11.182291764853334 ; 11.1860901 ; 21.533608058553124 ; 11.168286585476052
2.074074E-5 ; 11.182278468586667 ; 11.186076934143786 ; 21.533582365475834 ; 11.1682728
2.140904E-5 ; 11.004560568319999 ; 11.0101021 ; 21.19016869445001 ; 10.9925787
2.1875E-5 ; 10.88065 ; 10.893106687576452 ; 20.95072976859157 ; 10.875769835150646
2.191394E-5 ; 10.87154676256 ; 10.883329450560886 ; 20.93072 ; 10.866008187804878
2.209902E-5 ; 10.828279500479999 ; 10.8368587 ; 20.848624792400187 ; 10.819611534215904
2.209907E-5 ; 10.828267811679998 ; 10.836846729152391 ; 20.84860261409686 ; 10.819599
2.281114E-5 ; 10.661802935359999 ; 10.6663651 ; 20.53275252507806 ; 10.6493892
2.354631E-5 ; 10.48993783344 ; 10.4985304 ; 20.206656059921606 ; 10.481822096486766
2.354636E-5 ; 10.48992614464 ; 10.498519515598021 ; 20.20663388161828 ; 10.4818107
2.375E-5 ; 10.44232 ; 10.45418952322636 ; 20.116306087823023 ; 10.437551410083035
2.417189E-5 ; 10.35472663568 ; 10.362349116225369 ; 19.92917 ; 10.345857480486357
